COLLEGE NAME,DEPARTMENT,MARK,LOCATION,,PERCENTAGE
KMCT COLLEGE OF ENGINEERING,Computer Science And Engineering,45,CALICUT,,67.00%
KMCT COLLEGE OF ENGINEERING,Applied Electronics,45,CALICUT,,78.00%
KMCT COLLEGE OF ENGINEERING,Civil Engineering,45,CALICUT,,57.00%
KMCT COLLEGE OF ENGINEERING,Electronic and Communication Engineering,45,CALICUT,,72.00%
KMCT COLLEGE OF ENGINEERING,IT,45,CALICUT,,79.00%
KMCT COLLEGE OF ENGINEERING,Mechanical Engineering,45,CALICUT,,60.00%
KMCT COLLEGE OF ENGINEERING,Automobile Engineering,45,CALICUT,,58.00%
KMCT COLLEGE OF ENGINEERING,Electrical And Electronics Engineering,45,CALICUT,,61.00%
M-DIT,Mechanical Engineering,45,CALICUT,,65.00%
M-DIT,Electronics and Communication Engineering,45,CALICUT,,46.00%
M-DIT,Civil Engineering,45,CALICUT,,43.00%
M-DIT,Computer Science And Engineering,45,CALICUT,,74.00%
M-DIT,electronics And Computer Engineering,45,CALICUT,,64.00%
M-DIT,Electrical And Electronics Engineering,45,CALICUT,,61.00%
M-DIT,Electrical And Computer Engineering,45,CALICUT,,75.00%
M-DIT,Cyber security,45,CALICUT,,52.00%
GOVERNMENT ENGINEERING COLLEGE KOZHIKODE,Computer Science And Design,45,CALICUT,,52.00%
GOVERNMENT ENGINEERING COLLEGE KOZHIKODE,Chemical Engineering,45,CALICUT,,77.00%
GOVERNMENT ENGINEERING COLLEGE KOZHIKODE,Electronics and Communication Engineering,45,CALICUT,,52.00%
GOVERNMENT ENGINEERING COLLEGE KOZHIKODE,Applied Electronics And Instrumentation,45,CALICUT,,49.00%
GOVERNMENT ENGINEERING COLLEGE KOZHIKODE,Civil Engineering,45,CALICUT,,72.00%
GOVERNMENT ENGINEERING COLLEGE KOZHIKODE,Mechanical Engineering,45,CALICUT,,71.00%
KMCT COLLEGE OF ENGINEERING FOR WOMENS,Computer Science And Engineering,45,CALICUT,,46.00%
KMCT COLLEGE OF ENGINEERING FOR WOMENS,Civil Engineering,45,CALICUT,,60.00%
KMCT COLLEGE OF ENGINEERING FOR WOMENS,Biomedical Engineering,45,CALICUT,,42.00%
COLLEGE OF ENGINEERING VADAKARA,Computer Science And Engineering,45,CALICUT,,66.00%
COLLEGE OF ENGINEERING VADAKARA,Information Technology,45,CALICUT,,76.00%
COLLEGE OF ENGINEERING VADAKARA,Electrical And Electronics Engineering,45,CALICUT,,41.00%
COLLEGE OF ENGINEERING VADAKARA,Electronics and Communication Engineering,45,CALICUT,,77.00%
COLLEGE OF ENGINEERING VADAKARA,Civil Engineering,45,CALICUT,,79.00%
KMCT INSTITUTE OF EMERGING TECHNOLOGY & MANAGEMENT,Computer Science And Engineering,45,CALICUT,,73.00%
KMCT INSTITUTE OF EMERGING TECHNOLOGY & MANAGEMENT,Electronics and Communication Engineering,45,CALICUT,,52.00%
KMCT INSTITUTE OF EMERGING TECHNOLOGY & MANAGEMENT,Cyber security,45,CALICUT,,75.00%
KMCT INSTITUTE OF EMERGING TECHNOLOGY & MANAGEMENT,Artifical Intelligence & Data Science,45,CALICUT,,70.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Computer Science And Engineering,75,CALICUT,,70.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Biotechnology,75,CALICUT,,58.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Electrical And Electronics Engineering,75,CALICUT,,45.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Engineering Physics,75,CALICUT,,80.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Chemical Engineering,75,CALICUT,,47.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Mechanical Engineering,75,CALICUT,,80.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Materials Science And Engineering,75,CALICUT,,78.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Civil Engineering,75,CALICUT,,75.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Electronics and Communication Engineering,75,CALICUT,,80.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Production Engineering,75,CALICUT,,73.00%
AWH ENGINEERING COLLEGE,Electrical And Electronics Engineering,45,CALICUT,,63.00%
AWH ENGINEERING COLLEGE,Electronics and Communication Engineering,45,CALICUT,,58.00%
AWH ENGINEERING COLLEGE,Mechanical Engineering,45,CALICUT,,54.00%
AWH ENGINEERING COLLEGE,Computer Science And Engineering,45,CALICUT,,64.00%
AWH ENGINEERING COLLEGE,Civil Engineering,45,CALICUT,,75.00%
VEDAVYASA INSTITUTE OF TECHNOLOGY,Computer Science And Engineering,45,CALICUT,,79.00%
VEDAVYASA INSTITUTE OF TECHNOLOGY,Biotechnology,45,CALICUT,,58.00%
VEDAVYASA INSTITUTE OF TECHNOLOGY,Computer Science And Engineering(AI & ML),45,CALICUT,,47.00%
VEDAVYASA INSTITUTE OF TECHNOLOGY,Applied Electronics And Instrumentation,45,CALICUT,,50.00%
VEDAVYASA INSTITUTE OF TECHNOLOGY,Mechanical Engineering,45,CALICUT,,50.00%
VEDAVYASA INSTITUTE OF TECHNOLOGY,Electrical And Electronics Engineering,45,CALICUT,,72.00%
VEDAVYASA INSTITUTE OF TECHNOLOGY,Electronics and Communication Engineering,45,CALICUT,,56.00%
VEDAVYASA INSTITUTE OF TECHNOLOGY,Civil Engineering,45,CALICUT,,64.00%
,,,CALICUT,,73.00%
"A.V ABDURAHIMAN ARTS & SCIENCE COLLEGE,KULUPPA",BA FUNCTIONAL ENGLISH,50,CALICUT,,62.00%
"A.V ABDURAHIMAN ARTS & SCIENCE COLLEGE,KULUPPA",BA TRAVEL & TOURISM MANAGEMENT,50,CALICUT,,44.00%
"A.V ABDURAHIMAN ARTS & SCIENCE COLLEGE,KULUPPA",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,64.00%
"A.V ABDURAHIMAN ARTS & SCIENCE COLLEGE,KULUPPA",B.Sc PHYSICS,50,CALICUT,,43.00%
"A.V ABDURAHIMAN ARTS & SCIENCE COLLEGE,KULUPPA",B.Sc CHEMISTRY,50,CALICUT,,43.00%
"A.V ABDURAHIMAN ARTS & SCIENCE COLLEGE,KULUPPA",B.Sc COMPUTER SCIENCE,50,CALICUT,,77.00%
"A.V ABDURAHIMAN ARTS & SCIENCE COLLEGE,KULUPPA",B.Com CO-OPERATION,50,CALICUT,,59.00%
"A.V ABDURAHIMAN ARTS & SCIENCE COLLEGE,KULUPPA",B.CoM FINANCE,50,CALICUT,,51.00%
"AL IRSHAD ARTS & SCIENCE COLLEGE FOR WOMEN,THECHIYAD,KALLURUTTY",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,63.00%
"AL IRSHAD ARTS & SCIENCE COLLEGE FOR WOMEN,THECHIYAD,KALLURUTTY",BA ECONOMICS,50,CALICUT,,41.00%
"AL IRSHAD ARTS & SCIENCE COLLEGE FOR WOMEN,THECHIYAD,KALLURUTTY",B.Sc PSYCHOLOGY,50,CALICUT,,72.00%
"AL IRSHAD ARTS & SCIENCE COLLEGE FOR WOMEN,THECHIYAD,KALLURUTTY",B.Com COMPUTER APPLICATION,50,CALICUT,,60.00%
"AL-FURQAN ARABIC COLLEGE,NADAPURAM",BA AFSAL-UL-ULAMA,50,CALICUT,,43.00%
ALPHONSA COLLEGE THIRUVAMBADY,BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,42.00%
ALPHONSA COLLEGE THIRUVAMBADY,BA MASS COMMUNICATION AND JOURNALISM,50,CALICUT,,53.00%
ALPHONSA COLLEGE THIRUVAMBADY,BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,49.00%
ALPHONSA COLLEGE THIRUVAMBADY,B.Sc PSYCHOLOGY,50,CALICUT,,56.00%
ALPHONSA COLLEGE THIRUVAMBADY,B.Com COMPUTER APPLICATION,50,CALICUT,,56.00%
ALPHONSA COLLEGE THIRUVAMBADY,B.CoM FINANCE,50,CALICUT,,43.00%
"AWH SPECIAL COLLEGE,KALLAI,CALICUT",B.Sc GEOLOGY,50,CALICUT,,73.00%
"AWH SPECIAL COLLEGE,KALLAI,CALICUT",B.Sc GENETICS,50,CALICUT,,75.00%
"AWH SPECIAL COLLEGE,KALLAI,CALICUT",B.Sc COMPUTER SCIENCE,50,CALICUT,,79.00%
"AWH SPECIAL COLLEGE,KALLAI,CALICUT",B.Sc ELECTRONICS,50,CALICUT,,80.00%
"BAITHUL IZZA ARABIC COLLEGE,NARIKKUNI",BA AFSAL-UL-ULAMA,50,CALICUT,,44.00%
"BAITHUL IZZA ARTS & SCIENCE COLLEGE,NARIKKUNI",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,46.00%
"BAITHUL IZZA ARTS & SCIENCE COLLEGE,NARIKKUNI",BA SOCIOLOGY,50,CALICUT,,51.00%
"BAITHUL IZZA ARTS & SCIENCE COLLEGE,NARIKKUNI",BA TRAVEL & TOURISM MANAGEMENT,50,CALICUT,,60.00%
"BAITHUL IZZA ARTS & SCIENCE COLLEGE,NARIKKUNI",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,72.00%
"BAITHUL IZZA ARTS & SCIENCE COLLEGE,NARIKKUNI",BA COMPUTER APPLICATION,50,CALICUT,,79.00%
"BAITHUL IZZA ARTS & SCIENCE COLLEGE,NARIKKUNI",B.Sc ZOOLOGY,50,CALICUT,,41.00%
"BAITHUL IZZA ARTS & SCIENCE COLLEGE,NARIKKUNI",B.Sc BOTANY,50,CALICUT,,78.00%
"BAITHUL IZZA ARTS & SCIENCE COLLEGE,NARIKKUNI",B.Com COMPUTER APPLICATION,50,CALICUT,,74.00%
"BAITHUL IZZA ARTS & SCIENCE COLLEGE,NARIKKUNI",B.CoM FINANCE,50,CALICUT,,72.00%
"C.K.G MEMORIAL GOVT COLLEGE,PERAMBRA",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,55.00%
"C.K.G MEMORIAL GOVT COLLEGE,PERAMBRA",BA ECONOMICS,50,CALICUT,,49.00%
"C.K.G MEMORIAL GOVT COLLEGE,PERAMBRA",BA HISTORY,50,CALICUT,,64.00%
"C.K.G MEMORIAL GOVT COLLEGE,PERAMBRA",B.Sc PHYSICS,50,CALICUT,,74.00%
"C.K.G MEMORIAL GOVT COLLEGE,PERAMBRA",B.Sc MATHEMATICS,50,CALICUT,,75.00%
"C.K.G MEMORIAL GOVT COLLEGE,PERAMBRA",B.CoM FINANCE,50,CALICUT,,48.00%
CALICUT UNIVERSITY CENTRE FOR COSTUME & FASHION DESIGNING,B.Sc COSTUME & FASHION DESIGNING,50,CALICUT,,41.00%
CENTRE FOR COMPUTER SCIENCE & INFORMATION TECHNOLOGY,B.Sc INFORMATION TECHNOLOGY,50,CALICUT,,46.00%
"CHKM GOVT.ARTS & SCIENCE COLLEGE,KODUVALLY",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,58.00%
"CHKM GOVT.ARTS & SCIENCE COLLEGE,KODUVALLY",BA MALAYALAM LANGUAGE & LITARTURE,50,CALICUT,,74.00%
"CHKM GOVT.ARTS & SCIENCE COLLEGE,KODUVALLY",B.Sc STATISTICS,50,CALICUT,,74.00%
"CHKM GOVT.ARTS & SCIENCE COLLEGE,KODUVALLY",B.Com COMPUTER APPLICATION,50,CALICUT,,58.00%
"CO-OPERATIVE ARTS & SCIENCE COLLEGE KURIKKILAD,VADAKARA",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,70.00%
"CO-OPERATIVE ARTS & SCIENCE COLLEGE KURIKKILAD,VADAKARA",BA MASS COMMUNICATION AND JOURNALISM,50,CALICUT,,44.00%
"CO-OPERATIVE ARTS & SCIENCE COLLEGE KURIKKILAD,VADAKARA",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,68.00%
"CO-OPERATIVE ARTS & SCIENCE COLLEGE KURIKKILAD,VADAKARA",B.Sc COMPUTER SCIENCE,50,CALICUT,,46.00%
"CO-OPERATIVE ARTS & SCIENCE COLLEGE KURIKKILAD,VADAKARA",BACHELOR OF SOCIAL WORK,50,CALICUT,,64.00%
"CO-OPERATIVE ARTS & SCIENCE COLLEGE KURIKKILAD,VADAKARA",B.Com COMPUTER APPLICATION,50,CALICUT,,72.00%
"COLLEGE OF APPLIED SCIENCE,KALLACHI,NADAPURAM",BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,54.00%
"COLLEGE OF APPLIED SCIENCE,KALLACHI,NADAPURAM",B.Sc COMPUTER SCIENCE,50,CALICUT,,70.00%
"COLLEGE OF APPLIED SCIENCE,KALLACHI,NADAPURAM",B.Sc ELECTRONICS,50,CALICUT,,42.00%
"COLLEGE OF APPLIED SCIENCE,KILIYANAD",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,42.00%
"COLLEGE OF APPLIED SCIENCE,KILIYANAD",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,59.00%
"COLLEGE OF APPLIED SCIENCE,KILIYANAD",BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,44.00%
"COLLEGE OF APPLIED SCIENCE,KILIYANAD",B.Sc MATHEMATICS,50,CALICUT,,48.00%
"COLLEGE OF APPLIED SCIENCE,KILIYANAD",B.Sc COMPUTER SCIENCE,50,CALICUT,,56.00%
"COLLEGE OF APPLIED SCIENCE,KILIYANAD",B.Sc ELECTRONICS,50,CALICUT,,56.00%
"COLLEGE OF APPLIED SCIENCE,KILIYANAD",B.Com COMPUTER APPLICATION,50,CALICUT,,46.00%
"COLLEGE OF APPLIED SCIENCE,KORANGAD",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,42.00%
"COLLEGE OF APPLIED SCIENCE,KORANGAD",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,53.00%
"COLLEGE OF APPLIED SCIENCE,KORANGAD",BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,72.00%
"COLLEGE OF APPLIED SCIENCE,KORANGAD",B.Sc COMPUTER SCIENCE,50,CALICUT,,62.00%
"COLLEGE OF APPLIED SCIENCE,KORANGAD",B.Com COMPUTER APPLICATION,50,CALICUT,,74.00%
"COLLEGE OF APPLIED SCIENCE,THIRUVAMPADI",B.Sc COMPUTER SCIENCE,50,CALICUT,,54.00%
"COLLEGE OF APPLIED SCIENCE,THIRUVAMPADI",B.Sc ELECTRONICS,50,CALICUT,,43.00%
"COLLEGE OF APPLIED SCIENCE,THIRUVAMPADI",B.Com COMPUTER APPLICATION,50,CALICUT,,45.00%
"CSI CHRISTIAN MULLER WOMENS COLLEGE,CHOMBALA",BA FUNCTIONAL ENGLISH,50,CALICUT,,71.00%
"CSI CHRISTIAN MULLER WOMENS COLLEGE,CHOMBALA",BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,48.00%
"CSI CHRISTIAN MULLER WOMENS COLLEGE,CHOMBALA",B.Sc PSYCHOLOGY,50,CALICUT,,48.00%
"CSI CHRISTIAN MULLER WOMENS COLLEGE,CHOMBALA",B.CoM FINANCE,50,CALICUT,,68.00%
"DARUL HUDA ARTS AND SCIENCE COLLEGE,NADAPURAM",B.Sc PHYSICS,50,CALICUT,,50.00%
"DARUL HUDA ARTS AND SCIENCE COLLEGE,NADAPURAM",B.Sc COMPUTER SCIENCE,50,CALICUT,,78.00%
"DARUL HUDA ARTS AND SCIENCE COLLEGE,NADAPURAM",B.Sc CHEMISTRY,50,CALICUT,,50.00%
"DARUL HUDA ARTS AND SCIENCE COLLEGE,NADAPURAM",B.Com COMPUTER APPLICATION,50,CALICUT,,44.00%
"DARUNNUJOOM COLLEGE OF ARTS & SCIENCE,PERAMRA",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,53.00%
"DARUNNUJOOM COLLEGE OF ARTS & SCIENCE,PERAMRA",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,52.00%
"DARUNNUJOOM COLLEGE OF ARTS & SCIENCE,PERAMRA",B.Sc PSYCHOLOGY,50,CALICUT,,78.00%
"DARUNNUJOOM COLLEGE OF ARTS & SCIENCE,PERAMRA",B.Sc PHYSICS,50,CALICUT,,64.00%
"DARUNNUJOOM COLLEGE OF ARTS & SCIENCE,PERAMRA",B.Sc CHEMISTRY,50,CALICUT,,60.00%
"DARUNNUJOOM COLLEGE OF ARTS & SCIENCE,PERAMRA",B.Com COMPUTER APPLICATION,50,CALICUT,,65.00%
"DARUL MA-RIFA ARABIC COLLEGE,ODUNGAKAD,PUTHUPADY",BA AFSAL-UL-ULAMA,50,CALICUT,,63.00%
"DAYAPURAM ARTS & SCIENCE COLLEGE FOR WOMEN,DAYAPURAM",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,68.00%
"DAYAPURAM ARTS & SCIENCE COLLEGE FOR WOMEN,DAYAPURAM",BA HISTORY,50,CALICUT,,78.00%
"DAYAPURAM ARTS & SCIENCE COLLEGE FOR WOMEN,DAYAPURAM",BA FUNCTIONAL ENGLISH,50,CALICUT,,79.00%
"DAYAPURAM ARTS & SCIENCE COLLEGE FOR WOMEN,DAYAPURAM",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,78.00%
"DAYAPURAM ARTS & SCIENCE COLLEGE FOR WOMEN,DAYAPURAM",B.Sc PHYSICS,50,CALICUT,,71.00%
"DAYAPURAM ARTS & SCIENCE COLLEGE FOR WOMEN,DAYAPURAM",B.Sc COMPUTER SCIENCE,50,CALICUT,,55.00%
"DAYAPURAM ARTS & SCIENCE COLLEGE FOR WOMEN,DAYAPURAM",B.Com COMPUTER APPLICATION,50,CALICUT,,55.00%
DON BOSCO COLLEGE MAMPETTA MUKKAM,BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,77.00%
DON BOSCO COLLEGE MAMPETTA MUKKAM,BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,46.00%
DON BOSCO COLLEGE MAMPETTA MUKKAM,BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,41.00%
DON BOSCO COLLEGE MAMPETTA MUKKAM,B.Com COMPUTER APPLICATION,50,CALICUT,,68.00%
DR.B.R.AMBEDKAR MEMORIAL GOVT.ARTS & SCIENCE COLLEGE BALUSERRY,BA ECONOMICS WITH DEVELOPMENT ECONOMICS,50,CALICUT,,47.00%
DR.B.R.AMBEDKAR MEMORIAL GOVT.ARTS & SCIENCE COLLEGE BALUSERRY,B.Sc MATHEMATICS,50,CALICUT,,68.00%
DR.B.R.AMBEDKAR MEMORIAL GOVT.ARTS & SCIENCE COLLEGE BALUSERRY,B.Com CO-OPERATION,50,CALICUT,,61.00%
"EDUCOS ARTS & SCIENCE COLLEGE,KUTTIYADI",B.Com COMPUTER APPLICATION,50,CALICUT,,69.00%
"EDUCOS ARTS & SCIENCE COLLEGE,KUTTIYADI",BA ECONOMICS,50,CALICUT,,60.00%
"EDUCOS ARTS & SCIENCE COLLEGE,KUTTIYADI",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,70.00%
"EDUCOS ARTS & SCIENCE COLLEGE,KUTTIYADI",B.Com CO-OPERATION,50,CALICUT,,59.00%
"EDUCOS ARTS & SCIENCE COLLEGE,KUTTIYADI",B.Com COMPUTER APPLICATION,50,CALICUT,,51.00%
"GOLDEN HILLS ARTS & SCIENCE COLLEGE,ELETTIL,VALIYAPARAMBA,KODUVALLY",B.Com COMPUTER APPLICATION,50,CALICUT,,49.00%
"GOLDEN HILLS ARTS & SCIENCE COLLEGE,ELETTIL,VALIYAPARAMBA,KODUVALLY",B.Com COMPUTER APPLICATION,50,CALICUT,,52.00%
"GOLDEN HILLS ARTS & SCIENCE COLLEGE,ELETTIL,VALIYAPARAMBA,KODUVALLY",BA POLITICAL ADMINISTRATION,50,CALICUT,,62.00%
"GOLDEN HILLS ARTS & SCIENCE COLLEGE,ELETTIL,VALIYAPARAMBA,KODUVALLY",B.Sc MATHEMATICS,50,CALICUT,,54.00%
"GOLDEN HILLS ARTS & SCIENCE COLLEGE,ELETTIL,VALIYAPARAMBA,KODUVALLY",BA PUBLIC ADMINISTRATION,50,CALICUT,,74.00%
"GOLDEN HILLS ARTS & SCIENCE COLLEGE,ELETTIL,VALIYAPARAMBA,KODUVALLY",B.CoM FINANCE,50,CALICUT,,49.00%
"GOVT.ARTS & SCIENCE COLLEGE,KUNNAMANGALAM",B.Com COMPUTER APPLICATION,50,CALICUT,,50.00%
"GOVT.ARTS & SCIENCE COLLEGE,KUNNAMANGALAM",B.Com FINANCE,50,CALICUT,,44.00%
"GOVT.ARTS & SCIENCE COLLEGE,KUNNAMANGALAM",BA ECONOMICS WITH DEVELOPMENT ECONOMICS,50,CALICUT,,77.00%
